translation@translation	帮我翻译一下番茄	o o o o o o b-content i-content
lottery@number_query	上一期双色球开什么	b-relissue i-relissue i-relissue b-name i-name i-name o o o
epg@query	cctv-12套的节目单	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o
stock@query	查询中信国安的股票	o o b-name i-name i-name i-name o o o
train@query	查询柳州到昆明的列车	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	不懂饭的做法。	o o b-dishname o o o o
tvchannel@play	女性时尚	b-name i-name i-name i-name
translation@translation	翻译牛	o o b-content
music@play	播放音乐月亮之上的。	o o o o b-song i-song i-song i-song o o
bus@query	查询许昌到中山的汽车。	o o b-src i-src o b-dest i-dest o o o o
cookbook@query	还路阻少茶汤的做法。	o o o o b-dishname i-dishname o o o o
music@play	随便唱几首歌吧	o o o o o o o
contacts@create	添加一条通讯录姓名葛勇手机号码189571642496	o o o o o o o o o b-name i-name o o o o b-code i-code i-code i-code i-code i-code i-code i-code i-code i-code i-code i-code
telephone@dial	我要打电话给洪云刚	o o o o o o b-name i-name i-name
video@query	要看特种兵	o o b-name i-name i-name
stock@query	帮我查一下江西铜业股票	o o o o o b-name i-name i-name i-name o o
map@position	查查科大讯飞在哪里	o o b-location_poi i-location_poi i-location_poi i-location_poi o o o
email@launch	替我打开新邮件	o o o o o o o
music@play	随便来首刘德华的歌。	o o o o b-artist i-artist i-artist o o o
cookbook@query	嗯咯鸡爪怎么做的。	o o b-ingredient i-ingredient o o o o o
email@replay_all	全部应答	o o o o
message@send	发信息给学超	o o o o b-name i-name
stock@query	中国银行股票怎么样	b-name i-name i-name i-name o o o o o
music@play	来一首剑侠情缘	o o o b-song i-song i-song i-song
poetry@query	家，背首沁园春雪。	o o o o b-name i-name i-name i-name o
poetry@query	来首苏轼的词。	o o b-author i-author o o o
flight@query	上海到淮安的飞机	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	帮我查一下红烧肉的做法	o o o o o b-dishname i-dishname i-dishname o o o
match@query	2013年中国男足，主要赛程。	b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date b-category i-category i-category i-category o o o o o o
epg@query	哪个电视台在放神雕侠侣。	o o o o o o o b-name i-name i-name i-name o
telephone@dial	打电话给小女儿	o o o o b-name i-name i-name
poetry@query	阿妈，来一首白居易的诗。	o o o o o o b-author i-author i-author o o o
epg@query	国防军事频道2天后播捍卫者	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o b-datetime_date i-datetime_date i-datetime_date o b-name i-name i-name
cookbook@query	汉堡。	b-dishname i-dishname o
epg@query	电影频道明天放什么	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date o o o
news@play	今天有什么新闻呢。	b-datetime_date i-datetime_date o o o o o o o
map@route	从连云港到北京该怎么走	o b-startloc_city i-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
match@query	中超赛事预告，啊！	b-category i-category o o b-type i-type o o o
cookbook@query	萝卜炖排骨汤怎么做？	b-dishname i-dishname i-dishname i-dishname i-dishname i-dishname o o o o
map@route	去深圳怎么坐车？	o b-endloc_city i-endloc_city o o o o o
poetry@query	说一首唐诗吧！	o o o b-dynasty o o o
riddle@query	哥猜个谜语。	o o o b-category i-category o
novel@query	你再给我推荐几本书	o o o o o o o o o
cookbook@query	鸡蛋怎么炒最好吃？	b-ingredient i-ingredient o o o o o o o
match@query	中超赛事预告，你。	b-category i-category o o b-type i-type o o o
cookbook@query	鸡煲啊！	b-dishname i-dishname o o
cookbook@query	啊，青椒炒蛋。	o o b-dishname i-dishname i-dishname i-dishname o
cookbook@query	如何做煎饼。	o o o b-dishname i-dishname o
video@query	喂我想看电影喂	o o o o b-category i-category o
flight@query	帮我查一下广州到长沙的航班	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
train@query	查询武汉到茂名的火车	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
epg@query	明天晚上湖南卫视演什么电视剧	b-datetime_date i-datetime_date b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o b-category i-category i-category
news@play	今天的新闻，欲	b-datetime_date i-datetime_date o o o o o
epg@query	现在中央一台在播什么节目？	b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o o
website@open	帮我上下新浪网	o o o o b-name i-name i-name
cookbook@query	帮我搜索一下羊肉面片。	o o o o o o b-dishname i-dishname i-dishname i-dishname o
map@position	广东省英德在哪里	b-location_province i-location_province i-location_province b-location_area i-location_area o o o
message@send	给黄杠发短信	o b-name i-name o o o
app@launch	打开uc浏览器登录新浪网主页	o o b-name i-name i-name i-name i-name o o o o o o o
health@query	内痔怎么办？	b-keyword i-keyword o o o o
tvchannel@play	帮我切换到湖南卫视	o o o o o b-name i-name i-name i-name
flight@query	查询今天上海到成都的航班	o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	鱼香肉丝肉怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o o
video@query	请帮我查找一下奥特曼大电影	o o o o o o o b-name i-name i-name i-name i-name i-name
app@query	搜索机锋市场	o o b-name i-name i-name i-name
train@query	火车南京到衡水	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city
music@play	我要听流行歌曲	o o o b-category i-category o o
telephone@dial	打电话给大哥	o o o o b-name i-name
app@query	帮我找菜单	o o o b-name i-name
music@play	我要听张雨生的歌。	o o o b-artist i-artist i-artist o o o
cookbook@query	有什么特色美食。	o o o b-keyword i-keyword i-keyword i-keyword o
cookbook@query	红烧鱼怎么烧啊？	b-dishname i-dishname i-dishname o o o o o
translation@translation	书包用英语怎么说	b-content i-content o b-target i-target o o o
message@send	给园园发短信	o b-name i-name o o o
flight@query	帮我查一下明天南昌到广州的飞机票	o o o o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
riddle@query	来个灯谜吧！	o o b-category i-category o o
cookbook@query	送黄炒鸡蛋怎么做？	o o b-dishname i-dishname i-dishname o o o o
video@query	爱在何方第三期	b-name i-name i-name i-name b-episode i-episode i-episode
cookbook@query	凉拌海带	b-dishname i-dishname i-dishname i-dishname
flight@query	查询4月1号从武汉到广州的航班	o o b-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
video@query	刑侦电视剧	b-tag i-tag b-category i-category i-category
cinemas@query	我要看热门电影。	o o o o o o o o
match@query	中超比赛，结果。	b-category i-category o o o b-type i-type o
map@route	到公园怎么走	o b-endloc_poi i-endloc_poi o o o
tvchannel@play	陕西二套	b-name i-name i-name i-name
lottery@number_query	第50000期福彩双色球	o b-absissue i-absissue i-absissue i-absissue i-absissue o b-category i-category b-name i-name i-name
stock@query	查寻轻舞风股票	o o b-name i-name i-name o o
epg@query	湖南卫视有什么节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o
train@query	有没有徐州到洛阳的火车票	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
video@query	正者无敌	b-name i-name i-name i-name
video@query	我想看喜羊羊	o o o b-name i-name i-name
radio@launch	能不能帮我接听中广流行网	o o o o o o o b-name i-name i-name i-name i-name
riddle@query	猜谜语，听了。	o b-category i-category o o o o
map@route	导航到奉贤	o o o b-endloc_area i-endloc_area
train@query	连云港到徐州的火车票	b-startloc_city i-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
poetry@query	你背首唐诗给我听听啊	o o o b-dynasty o o o o o o
flight@query	厦门到上海的机票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
bus@query	从南昌到长沙的汽车。	o b-src i-src o b-dest i-dest o o o o
news@play	我看看现在的最新新闻是什么？	o o o b-datetime_time i-datetime_time o b-keyword i-keyword o o o o o o
message@send	发信息给熊伟	o o o o b-name i-name
cookbook@query	孜然排骨怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
flight@query	查询上海到丽江飞机票的价格	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o
message@send	给孟南发短信	o b-name i-name o o o
cookbook@query	人心无穷烧肉的做法。	o o o o b-dishname i-dishname o o o o
cookbook@query	请问红烧肉的做法？你，你。	o o b-dishname i-dishname i-dishname o o o o o o o o
cookbook@query	红烧鱼块。	b-dishname i-dishname i-dishname i-dishname o
epg@query	少儿节目中央少儿节目	b-category i-category o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel
poetry@query	背将进酒。	o b-name i-name i-name o
message@send	传简讯给家里	o o o o b-name i-name
riddle@query	帮忙讲几个谜语给我猜。	o o o o o b-category i-category o o o o
cinemas@query	查一下最近有什么电影？	o o o o o o o o o o o
radio@launch	98.4香港电台第四台	b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name
cookbook@query	请问酸辣土豆丝是怎么炒的	o o b-dishname i-dishname i-dishname i-dishname i-dishname o o o o o
cinemas@query	找下最近最热播的电影。	o o o o o o o o o o o
cookbook@query	紫菜蛋花汤。	b-dishname i-dishname i-dishname i-dishname i-dishname o
video@query	播放非诚勿扰	o o b-name i-name i-name i-name
flight@query	搜索武汉到南京的机票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
radio@launch	一起听听新疆人民广播电台	o o o o b-name i-name i-name i-name i-name i-name i-name i-name
translation@translation	翻译秋天	o o b-content i-content
novel@query	我要看饶雪漫的小说左耳	o o o b-author i-author i-author o o o b-name i-name
telephone@query	查看王老师的号码	o o b-name i-name i-name o o o
poetry@query	茅屋为秋风所破歌杜甫。	b-name i-name i-name i-name i-name i-name i-name i-name b-author i-author o
video@query	神兵小将	b-name i-name i-name i-name
cookbook@query	酸菜是怎么做的可以用塑料布。	b-ingredient i-ingredient o o o o o o o o o o o o
tvchannel@play	山东台高清	b-name i-name i-name b-resolution i-resolution
news@play	播新闻，湖南新闻。	o o o o b-location_province i-location_province o o o
cookbook@query	土豆粉怎么做好吃？	b-ingredient i-ingredient i-ingredient o o o o o o
poetry@default	你好啊，再背首诗。	o o o o o o o o o
video@query	九阴真经	b-name i-name i-name i-name
stock@query	查询重庆水务股票	o o b-name i-name i-name i-name o o
video@query	孙俪的电视剧	b-artist i-artist o b-category i-category i-category
train@query	从长沙到北京的列车	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
telephone@dial	帮我打电话给港铁轮	o o o o o o b-name i-name i-name
cookbook@query	想做蛋糕。	o o b-dishname i-dishname o
video@query	五号特工组	b-name i-name i-name i-name i-name
map@route	鹰潭到景德镇	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city i-endloc_city
poetry@default	老朗诵首古诗。	o o o o o o o
epg@query	中央一套昨天的新闻联播	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date o b-name i-name i-name i-name
cookbook@query	花格等蛋的做法。	o o o b-ingredient o o o o
epg@query	搜索东方卫视的电视节目。	o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o
train@query	查询昆明到合肥的火车	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
poetry@query	搜索蜀道难。	o o b-name i-name i-name o
poetry@query	尽在不言中下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o o o o
train@query	查一下从广州到南宁的火车票	o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
poetry@query	诗词满江红。	o o b-name i-name i-name o
riddle@query	猜个谜语哦。	o o b-category i-category o o
flight@query	去桂林的航班怎样	o b-endloc_city i-endloc_city o o o o o
cookbook@query	做酸菜鱼。	o b-dishname i-dishname i-dishname o
bus@query	九江到景德镇的汽车。	b-src i-src o b-dest i-dest i-dest o o o o
cookbook@query	披萨的做法	b-dishname i-dishname o o o
epg@query	熊出没是几点开始播放。	b-name i-name i-name o o o o o o o o
cookbook@query	烧鸡块怎么做？	o b-ingredient i-ingredient o o o o
bus@query	从中山到西安的汽车。	o b-src i-src o b-dest i-dest o o o o
tvchannel@play	我想看中央十三频道	o o o b-name i-name i-name i-name i-name i-name
app@launch	进入手机qq	o o o o b-name i-name
cookbook@query	然后等你杀猪菜怎么做？	o o o o b-dishname i-dishname i-dishname o o o o
email@create	我想写一个邮件	o o o o o o o
website@open	摩尔勇士	b-name i-name i-name i-name
cookbook@query	你给我讲讲红烧肉的做法。	o o o o o b-dishname i-dishname i-dishname o o o o
cookbook@query	土豆烧肉。	b-dishname i-dishname i-dishname i-dishname o
health@query	怎么治疗口腔溃疡呃呃呃	o o o o b-keyword i-keyword i-keyword i-keyword o o o
joke@query	讲个笑话吗	o o o o o
video@query	看看郑晓龙导演的甄嬛传	o o b-artist i-artist i-artist b-artistrole i-artistrole o b-name i-name i-name
train@query	上饶到南昌的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
riddle@query	也来个灯谜吗？	o o o b-category i-category o o
cookbook@query	做苹果麦片粥需要哪写材料？	o b-dishname i-dishname i-dishname i-dishname i-dishname o o o o o o o
novel@query	搜索中国共产党章程	o o b-name i-name i-name i-name i-name i-name i-name
map@route	从二手车市场到八一广场怎么走	o b-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
lottery@number_query	帮我查一下上一期的大乐透	o o o o o b-relissue i-relissue i-relissue o b-name i-name i-name
flight@query	查询上海到北京的航班。	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
match@query	帮我搜一下中超3月份的对阵情况	o o o o o b-category i-category b-datetime_date i-datetime_date i-datetime_date o o o o o
news@play	讲点新闻	o o o o
poetry@query	来一首纳兰性德的词。	o o o b-author i-author i-author i-author o o o
health@query	肺结核要注意些啥	b-keyword i-keyword i-keyword o o o o o
app@launch	黎宇我要玩中国象棋	o o o o o b-name i-name i-name i-name
bus@query	请查询天津市到哈尔滨的车。	o o o b-src i-src i-src o b-dest i-dest i-dest o o o
cookbook@query	那烤箱做面包怎么做？	o o o o b-dishname i-dishname o o o o
train@query	合肥到深圳的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
message@send	发短信给刘文说明天下午五点有聚会	o o o o b-name i-name o b-content i-content i-content i-content i-content i-content i-content i-content i-content
email@create	我想写一个新邮件	o o o o o o o o
music@play	胡歌忘记时间	b-artist i-artist b-song i-song i-song i-song
video@query	中国最强音	b-name i-name i-name i-name i-name
cookbook@query	红烧猪蹄怎么做	b-dishname i-dishname i-dishname i-dishname o o o
app@launch	打开淘宝购物	o o b-name i-name i-name i-name
map@route	帮我找到去安徽黄山的路	o o o o o b-endloc_province i-endloc_province b-endloc_poi i-endloc_poi o o
cookbook@query	怎么做？酸菜鱼？	o o o o b-dishname i-dishname i-dishname o
news@play	帮我查一查今天的新闻。	o o o o o b-datetime_date i-datetime_date o o o o
epg@query	淮南电视台综合频道节目。	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
tvchannel@play	卡酷少儿频道	b-name i-name i-name i-name i-name i-name
app@launch	启动qq浏览器	o o b-name i-name i-name i-name i-name
translation@translation	我要和妹妹睡觉英语怎么说	b-content i-content i-content i-content i-content i-content i-content b-target i-target o o o
cinemas@query	附近有没有电影院啊？	o o o o o o o o o o
video@query	来一个选秀节目	o o o b-tag i-tag b-category i-category
flight@query	帮我看一下明天去北京的飞机	o o o o o b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
stock@query	居然股份股票怎么样	b-name i-name i-name i-name o o o o o
flight@query	机票	o o
translation@translation	笑话用英语怎么说	b-content i-content o b-target i-target o o o
video@query	欧阳震华的罪案电视剧	b-artist i-artist i-artist i-artist o b-tag i-tag b-category i-category i-category
epg@query	安徽卫视今天晚上放什么？	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date b-datetime_time i-datetime_time o o o o
video@query	查询神鬼认证	o o b-name i-name i-name i-name
translation@translation	我去飞机场英语怎么说	b-content i-content i-content i-content i-content b-target i-target o o o
cookbook@query	虾炒蛋怎么做？	b-dishname i-dishname i-dishname o o o o
news@play	等，请播报新闻	o o o o o o o
stock@query	截止目前银鸽投资股份的市值是多少	o o o o b-name i-name i-name i-name o o o o o o o o
tvchannel@play	我想看高尔夫网球频道	o o o b-name i-name i-name i-name i-name i-name i-name
news@play	现在看看有最新的新闻吗？	b-datetime_time i-datetime_time o o o b-keyword i-keyword o o o o o
epg@query	周六晚上重庆卫视有转播神探高伦布吗	b-datetime_date i-datetime_date b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o b-name i-name i-name i-name i-name o
cookbook@query	白灼菜心怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
match@query	中超的比赛时间。	b-category i-category o o o o o o
website@open	现在我也想上新浪网了	o o o o o o b-name i-name i-name o
app@launch	帮我打开人人	o o o o b-name i-name
app@launch	国际象棋开局	b-name i-name i-name i-name o o
cookbook@query	煮水饺。	o b-dishname i-dishname o
poetry@query	我朗诵唐诗。	o o o b-dynasty o o
cookbook@query	了，鸡蛋怎么做？	o o b-ingredient i-ingredient o o o o
music@play	想听牵手这首歌	o o b-song i-song o o o
cookbook@query	我说吃飞蟹，怎么做？	o o o b-ingredient i-ingredient o o o o o
cinemas@query	有没有新出的电影了。	o o o o o o o o o o
stock@query	查询下北京首创的股票	o o o b-name i-name i-name i-name o o o
cookbook@query	麻辣烫做法。	b-dishname i-dishname i-dishname o o o
cookbook@query	凉面。	b-dishname i-dishname o
tvchannel@play	搜索第10频道	o o o b-code i-code o o
music@play	点一首爱情买卖来听听	o o o b-song i-song i-song i-song o o o
epg@query	北京台有什么好电视	b-tvchannel i-tvchannel i-tvchannel o o o o o o
music@play	放首歌给我听吧	o o o o o o o
message@send	给刘志发短信	o b-name i-name o o o
tvchannel@play	浙江台	b-name i-name i-name
cookbook@query	冰糖雪梨	b-dishname i-dishname i-dishname i-dishname
music@play	点播爱情买卖	o o b-song i-song i-song i-song
cookbook@query	怎么做馒头	o o o b-dishname i-dishname
health@query	截瘫吧	b-keyword i-keyword o
video@query	穷孩子富孩子	b-name i-name i-name i-name i-name i-name
app@query	搜索手机办公软件	o o o o b-name i-name i-name i-name
website@open	把淘宝网打开	o b-name i-name i-name o o
stock@query	查询大北农的股票	o o b-name i-name i-name o o o
message@send	发短信给王亮说死人你在干什么呢	o o o o b-name i-name o b-content i-content i-content i-content i-content i-content i-content i-content
poetry@query	来一首白居易的诗	o o o b-author i-author i-author o o
video@query	我想要看很火的电影	o o o o o b-popularity o b-category i-category
train@query	宿州到北京的火车有哪些	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o
video@query	影视流星花园	b-category i-category b-name i-name i-name i-name
poetry@query	来首宋词。	o o b-dynasty o o
map@route	导航到江门	o o o b-endloc_city i-endloc_city
message@send	给晓琴发短信你在干吗	o b-name i-name o o o b-content i-content i-content i-content
train@query	查询泉州到上海的动车票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o b-category i-category o
poetry@query	背首宋词。	o o b-dynasty o o
riddle@query	说个谜语给我猜猜。	o o b-category i-category o o o o o
cookbook@query	小白菜拌豆腐怎么做呀？	o b-dishname i-dishname i-dishname i-dishname i-dishname o o o o o
map@route	往火车北站怎么走	o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
cookbook@query	冰糖葫芦怎么做？你？女子。	b-dishname i-dishname i-dishname i-dishname o o o o o o o o o
news@play	看看有什么好新闻	o o o o o o o o
poetry@query	我给我念一首李白的诗吧？	o o o o o o b-author i-author o o o o
